                       fs   mms    cms    cms1   cms2   cms     mms2
da175-8               36.0    0.0  0.000  0.868  0.000  0.434   22.5 
dc200-8               29.0    0.0  0.000  1.01   0.000  0.504   29.9 
dc300-8               28.0    0.0  0.000  0.395  0.000  0.197   81.9 
dc380-4               20.0    0.0  0.000  0.302  0.000  0.151  209.9 
dc380-8               20.0    0.0  0.000  0.447  0.000  0.223  141.7 
dcs450-4              22.0    0.0  0.000  0.175  0.000  0.087  299.9 
dvc310-88             22.0  160.0  0.330  0.324  0.327  0.326  161.5 
ib385-8               21.0    0.0  0.000  0.338  0.000  0.169  169.9 
ps180-8               48.2    7.2  1.52   2.57   1.51   2.04     4.2 
ps220-8               45.5   10.6  1.15   1.24   1.15   1.20     9.9 
qt210-4               36.0    0.0  0.000  0.403  0.000  0.202   48.5 
qt385-4               21.0    0.0  0.000  0.212  0.000  0.106  270.6 
rs125-8               72.2    5.2  0.940  0.300  0.940  0.620   16.2 
rs150s-8              49.2    7.0  1.50   1.56   1.50   1.53     6.7 
rs180-8               42.4   14.9  0.950  0.987  0.946  0.966   14.3 
rs180s-8              38.0    0.0  0.000  1.04   0.000  0.521   16.8 
rss225s-4             42.0    0.0  0.000  0.531  0.000  0.266   27.0 
rss225s-8             27.0    0.0  0.000  1.36   0.000  0.678   25.6 
rss390hf4             18.0    0.0  0.000  0.302  0.000  0.151  259.1 
rss390ho4             21.0    0.0  0.000  0.145  0.000  0.073  395.4 
sd215-88              28.0   42.0  0.000  0.696  0.769  0.733   46.4 
sd215a-88             31.0   42.4  0.620  0.647  0.622  0.634   40.7 
sd270-88              25.0   57.0  0.670  0.666  0.711  0.688   60.9 
sd270a-88             29.6   46.8  0.620  0.638  0.618  0.628   45.3 
sd315a-88             26.9  109.0  0.320  0.330  0.321  0.326  106.0 
st210-8               45.0    0.0  0.000  0.660  0.000  0.330   19.0 
st305-8               27.0    0.0  0.000  0.423  0.000  0.211   82.2 
st315-88              25.0   87.0  0.450  0.445  0.466  0.456   91.0 
st385-8               19.0  267.0  0.000  0.268  0.263  0.265  262.2 
st385-88              20.0  197.0  0.310  0.313  0.321  0.317  202.4 
tit400c               20.0    0.0  0.000  0.246  0.000  0.123  257.6 
um10-22               26.2  160.4  0.230  0.241  0.230  0.235  153.3 
um12-22               24.9  193.2  0.210  0.219  0.211  0.215  186.9 
um15-22               19.5  279.4  0.240  0.248  0.238  0.243  268.8 
