-------------
18 HP 1030 A
            98.0dB          1200W      3x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 17.6Hz  37Hz   76Hz  106.8dB 1697l +  59l  * 1x100mm  2980mm
 19.3Hz  39Hz   78Hz  108.4dB  707l +  59l  * 1x100mm  2656mm
 21.2Hz  41Hz   80Hz  110.0dB  427l +  59l  * 1x100mm  2367mm
 23.2Hz  44Hz   82Hz  111.5dB  296l +  59l  * 1x100mm  2110mm
 25.3Hz  46Hz   84Hz  113.1dB  220l +  59l  * 1x100mm  1880mm
 27.7Hz  49Hz   86Hz  114.6dB  171l +  59l  * 1x100mm  1676mm
 30.2Hz  52Hz   89Hz  116.1dB  137l +  59l  * 1x100mm  1494mm
 32.9Hz  55Hz   91Hz  117.6dB  112l +  59l  * 1x100mm  1331mm
 35.7Hz  58Hz   94Hz  119.1dB   93l +  59l  * 1x100mm  1187mm
 38.8Hz  61Hz   97Hz  120.5dB   78l +  59l  * 1x100mm  1058mm
 42.1Hz  65Hz  101Hz  121.9dB   66l +  59l  * 1x100mm   943mm
 45.7Hz  69Hz  104Hz  123.3dB   56l +  59l  * 1x100mm   840mm
 49.5Hz  71Hz  108Hz  124.7dB   51l +  59l  * 1x100mm   787mm
 53.5Hz  77Hz  112Hz  126.1dB   42l +  59l  * 1x100mm   667mm
 57.8Hz  82Hz  116Hz  127.4dB   36l +  59l  * 1x100mm   595mm
 62.4Hz  87Hz  121Hz  128.7dB   31l +  59l  * 1x100mm   530mm
 67.3Hz  92Hz  126Hz  130.1dB   27l +  59l  * 1x100mm   472mm
 17.6Hz  43Hz   76Hz  106.8dB  330l +  43l  * 1x100mm  2981mm
 19.3Hz  45Hz   78Hz  108.4dB  241l +  43l  * 1x100mm  2656mm
 21.2Hz  48Hz   80Hz  110.0dB  185l +  43l  * 1x100mm  2367mm
 23.2Hz  51Hz   82Hz  111.5dB  147l +  43l  * 1x100mm  2110mm
 25.3Hz  54Hz   84Hz  113.1dB  119l +  43l  * 1x100mm  1881mm
 27.7Hz  57Hz   86Hz  114.6dB   98l +  43l  * 1x100mm  1676mm
 30.2Hz  60Hz   89Hz  116.1dB   82l +  43l  * 1x100mm  1494mm
 32.9Hz  64Hz   91Hz  117.6dB   69l +  43l  * 1x100mm  1331mm
 35.7Hz  68Hz   94Hz  119.1dB   59l +  43l  * 1x100mm  1187mm
 38.8Hz  72Hz   97Hz  120.5dB   51l +  43l  * 1x100mm  1058mm
 42.1Hz  76Hz  101Hz  121.9dB   44l +  43l  * 1x100mm   943mm
 45.7Hz  69Hz  104Hz  123.3dB   56l +  43l  * 1x100mm  1143mm
 49.5Hz  71Hz  108Hz  124.7dB   51l +  43l  * 1x100mm  1071mm
 53.5Hz  77Hz  112Hz  126.1dB   42l +  43l  * 1x100mm   908mm
 49.7Hz  82Hz  116Hz  124.8dB   36l +  43l  * 1x100mm   809mm
 54.3Hz  87Hz  121Hz  126.3dB   31l +  43l  * 1x100mm   721mm
 67.3Hz  92Hz  126Hz  130.1dB   27l +  43l  * 1x100mm   643mm
 21.1Hz  51Hz  124Hz  109.9dB  141l +  30l  * 1x100mm  2980mm
 23.3Hz  54Hz  127Hz  111.6dB  115l +  30l  * 1x100mm  2657mm
 25.7Hz  58Hz  129Hz  113.3dB   95l +  30l  * 1x100mm  2368mm
 28.2Hz  61Hz  132Hz  115.0dB   80l +  30l  * 1x100mm  2110mm
 31.0Hz  65Hz  134Hz  116.6dB   67l +  30l  * 1x100mm  1881mm
 34.0Hz  68Hz  137Hz  118.2dB   58l +  30l  * 1x100mm  1676mm
 37.3Hz  72Hz  141Hz  119.8dB   49l +  30l  * 1x100mm  1494mm
 40.8Hz  77Hz  144Hz  121.4dB   43l +  30l  * 1x100mm  1331mm
 44.6Hz  81Hz  148Hz  122.9dB   37l +  30l  * 1x100mm  1187mm
 48.7Hz  86Hz  152Hz  124.5dB   32l +  30l  * 1x100mm  1057mm
 53.2Hz  91Hz  156Hz  126.0dB   28l +  30l  * 1x100mm   943mm
 57.9Hz  97Hz  161Hz  127.4dB   24l +  30l  * 1x100mm   840mm
 63.0Hz 102Hz  166Hz  128.9dB   21l +  30l  * 1x100mm   749mm
 68.4Hz 108Hz  172Hz  130.3dB   19l +  30l  * 1x100mm   667mm
 74.2Hz 115Hz  178Hz  131.8dB   17l +  30l  * 1x100mm   595mm
 80.5Hz 122Hz  184Hz  133.2dB   15l +  30l  * 1x100mm   530mm
 87.1Hz 129Hz  190Hz  134.5dB   13l +  30l  * 1x100mm   472mm
