-------------
BMS 13/4
            86.5dB            60W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 39.0Hz  81Hz  169Hz   90.5dB    5l +   1l  + 1x40mm   4068mm
 42.8Hz  86Hz  172Hz   92.1dB    4l +   1l  + 1x40mm   3626mm
 46.9Hz  91Hz  176Hz   93.7dB    4l +   1l  + 1x40mm   3231mm
 51.3Hz  96Hz  181Hz   95.3dB    3l +   1l  + 1x40mm   2881mm
 56.1Hz 102Hz  186Hz   96.8dB    3l +   1l  + 1x40mm   2567mm
 61.2Hz 108Hz  191Hz   98.3dB    2l +   1l  + 1x40mm   2288mm
 66.7Hz 114Hz  196Hz   99.8dB    2l +   1l  + 1x40mm   2039mm
 72.7Hz 121Hz  202Hz  101.3dB    2l +   1l  + 1x40mm   1817mm
 79.1Hz 128Hz  209Hz  102.8dB    2l +   1l  + 1x40mm   1620mm
 39.0Hz  95Hz  169Hz   90.5dB    3l +   1l  + 1x40mm   4068mm
 42.8Hz 100Hz  172Hz   92.1dB    3l +   1l  + 1x40mm   3625mm
 46.9Hz 106Hz  176Hz   93.7dB    3l +   1l  + 1x40mm   3231mm
 51.3Hz 112Hz  181Hz   95.3dB    2l +   1l  + 1x40mm   2880mm
 56.1Hz 119Hz  186Hz   96.8dB    2l +   1l  + 1x40mm   2567mm
 61.2Hz 126Hz  191Hz   98.3dB    2l +   1l  + 1x40mm   2288mm
 66.7Hz 134Hz  196Hz   99.8dB    1l +   1l  + 1x40mm   2039mm
 72.7Hz 141Hz  202Hz  101.3dB    1l +   1l  + 1x40mm   1817mm
 79.1Hz 150Hz  209Hz  102.8dB    1l +   1l  + 1x40mm   1620mm
-------------
BM 17/8
            89.0dB            90W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 29.4Hz  57Hz  111Hz   91.1dB  154l +   8l  * 1x40mm   1482mm
 32.1Hz  60Hz  113Hz   92.7dB   70l +   8l  * 1x40mm   1321mm
 35.1Hz  64Hz  116Hz   94.2dB   43l +   8l  * 1x40mm   1177mm
 38.3Hz  68Hz  120Hz   95.8dB   30l +   8l  * 1x40mm   1050mm
 41.8Hz  72Hz  123Hz   97.3dB   23l +   8l  * 1x40mm    935mm
 45.5Hz  76Hz  127Hz   98.7dB   18l +   8l  * 1x40mm    834mm
 49.5Hz  80Hz  131Hz  100.2dB   14l +   8l  * 1x40mm    743mm
 53.8Hz  85Hz  135Hz  101.6dB   12l +   8l  * 1x40mm    662mm
 58.4Hz  90Hz  140Hz  103.1dB   10l +   8l  * 1x40mm    590mm
 63.3Hz  96Hz  144Hz  104.5dB    8l +   8l  * 1x40mm    526mm
 68.5Hz  99Hz  150Hz  105.8dB    7l +   8l  - 1x50mm    770mm
 74.1Hz 107Hz  155Hz  107.2dB    6l +   8l  - 1x50mm    653mm
 80.1Hz 114Hz  161Hz  108.6dB    5l +   8l  - 1x50mm    582mm
 24.4Hz  59Hz  106Hz   87.9dB   86l +   6l  * 1x40mm   1866mm
 26.8Hz  63Hz  108Hz   89.5dB   50l +   6l  * 1x40mm   1663mm
 29.4Hz  66Hz  111Hz   91.1dB   34l +   6l  * 1x40mm   1482mm
 32.1Hz  70Hz  113Hz   92.7dB   25l +   6l  * 1x40mm   1321mm
 35.1Hz  75Hz  116Hz   94.2dB   19l +   6l  * 1x40mm   1178mm
 38.3Hz  79Hz  120Hz   95.8dB   15l +   6l  * 1x40mm   1049mm
 41.8Hz  84Hz  123Hz   97.3dB   12l +   6l  * 1x40mm    935mm
 45.5Hz  89Hz  127Hz   98.7dB   10l +   6l  * 1x40mm    834mm
 49.5Hz  94Hz  131Hz  100.2dB    9l +   6l  * 1x40mm    743mm
 53.8Hz  99Hz  135Hz  101.6dB    7l +   6l  * 1x40mm    662mm
 58.4Hz 105Hz  140Hz  103.1dB    6l +   6l  * 1x40mm    590mm
 63.3Hz  96Hz  144Hz  104.5dB    8l +   6l  * 1x40mm    716mm
 68.5Hz  99Hz  150Hz  105.8dB    7l +   6l  * 1x40mm    671mm
 74.1Hz 107Hz  155Hz  107.2dB    6l +   6l  * 1x40mm    569mm
 68.8Hz 114Hz  161Hz  105.9dB    5l +   6l  - 1x50mm    792mm
 75.2Hz 120Hz  168Hz  107.5dB    4l +   6l  - 1x50mm    706mm
 29.3Hz  71Hz  173Hz   91.1dB   24l +   4l  * 1x40mm   1866mm
 32.3Hz  75Hz  176Hz   92.8dB   18l +   4l  * 1x40mm   1664mm
 35.6Hz  80Hz  179Hz   94.5dB   15l +   4l  * 1x40mm   1483mm
 39.1Hz  84Hz  182Hz   96.1dB   12l +   4l  * 1x40mm   1321mm
 43.0Hz  89Hz  186Hz   97.7dB   10l +   4l  * 1x40mm   1178mm
 47.2Hz  95Hz  190Hz   99.4dB    8l +   4l  * 1x40mm   1050mm
 51.7Hz 100Hz  195Hz  101.0dB    7l +   4l  * 1x40mm    935mm
 56.6Hz 106Hz  200Hz  102.5dB    6l +   4l  * 1x40mm    834mm
 61.9Hz 113Hz  205Hz  104.1dB    5l +   4l  * 1x40mm    743mm
 67.6Hz 119Hz  211Hz  105.6dB    4l +   4l  * 1x40mm    662mm
 73.7Hz 126Hz  217Hz  107.1dB    4l +   4l  * 1x40mm    590mm
 80.2Hz 134Hz  223Hz  108.6dB    3l +   4l  * 1x40mm    526mm
