                       fs   mms    cms    cms1   cms2   cms     mms2
W3-1876S              55.0   10.0  0.738  0.885  0.839  0.862    9.5 
W3-1878               75.0    2.0  0.218  2.21   2.25   2.23     2.0 
W3-315SC              88.0    0.0  0.000  1.72   0.000  0.859    1.9 
W3-871S              148.0    0.0  0.000  0.616  0.000  0.308    1.9 
W4-1337SA             70.0    0.0  0.000  1.07   0.000  0.537    4.8 
W4-1720               60.0    5.0  0.000  1.34   1.41   1.37     5.3 
W4-1879               55.0    4.0  0.198  2.06   2.09   2.08     4.1 
W4-655SA              70.0    0.0  0.000  1.15   0.000  0.574    4.5 
W4-657                68.7    4.7  0.940  1.19   1.14   1.16     4.5 
W4-657SC              65.0    0.0  0.000  1.36   0.000  0.681    4.4 
W4-937SB              65.0    0.0  0.000  1.10   0.000  0.548    5.5 
W5-1374SE             50.0   11.5  0.843  0.879  0.880  0.879   11.5 
W5-1685               50.0   11.0  1.02   1.06   0.923  0.991    9.6 
W5-1880               45.0    7.0  0.211  2.20   1.79   1.99     5.7 
W5-876SA              50.0   17.0  0.000  0.592  0.596  0.594   17.1 
W5-938SB              65.0    0.0  0.000  0.844  0.000  0.422    7.1 
W6-1108SA             47.0   12.8  0.997  0.705  0.896  0.800   16.3 
W6-1139SG             35.0   39.4  0.536  0.548  0.525  0.536   37.7 
W6-1139SH             34.9   34.9  0.596  0.620  0.596  0.608   33.5 
W6-1139SIF            35.0   39.9  0.598  0.441  0.518  0.479   46.9 
W6-1530S              50.0   13.8  0.753  0.784  0.734  0.759   12.9 
W6-1916               60.0    8.1  0.085  0.886  0.872  0.879    7.9 
W6-623C               45.0   13.8  0.858  1.25   0.906  1.08    10.0 
W6-789D               45.0    8.0  1.62   1.68   1.56   1.62     7.4 
W6-789E               50.0    7.0  1.49   1.55   1.45   1.50     6.5 
W69-1042              35.0   46.0  0.524  0.545  0.450  0.497   37.9 
W8-1363SBF            32.0   99.8  0.000  0.203  0.248  0.225  122.1 
W8-740C               28.0   95.0  0.333  0.348  0.340  0.344   92.7 
W8-670Q               27.0   49.0  0.640  0.659  0.709  0.684   52.8 
W8Q-1071              28.4  122.8  0.200  0.263  0.256  0.259  119.8 
