-------------
m15
            93.3dB           400W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 11.7Hz  24Hz   51Hz   98.5dB -813l +  91l  * 1x70mm   2129mm
 12.9Hz  26Hz   52Hz  100.1dB -1432l +  91l  * 1x70mm   1898mm
 14.1Hz  27Hz   53Hz  101.7dB -9910l +  91l  * 1x70mm   1691mm
 15.4Hz  29Hz   54Hz  103.3dB 1761l +  91l  * 1x70mm   1508mm
 16.9Hz  31Hz   56Hz  104.8dB  757l +  91l  * 1x70mm   1343mm
 18.4Hz  33Hz   57Hz  106.4dB  462l +  91l  * 1x70mm   1197mm
 20.1Hz  34Hz   59Hz  107.9dB  322l +  91l  * 1x70mm   1067mm
 21.9Hz  36Hz   61Hz  109.4dB  240l +  91l  * 1x70mm    951mm
 23.8Hz  39Hz   63Hz  110.8dB  186l +  91l  * 1x70mm    848mm
 25.8Hz  41Hz   65Hz  112.3dB  149l +  91l  * 1x70mm    755mm
 28.0Hz  43Hz   67Hz  113.7dB  122l +  91l  * 1x70mm    673mm
 30.4Hz  46Hz   69Hz  115.1dB  101l +  91l  * 1x70mm    600mm
 32.9Hz  47Hz   72Hz  116.5dB   91l +  91l  * 1x70mm    562mm
 35.6Hz  52Hz   75Hz  117.8dB   72l +  91l  * 1x70mm    477mm
 38.5Hz  55Hz   77Hz  119.2dB   61l +  91l  * 1x70mm    425mm
 41.5Hz  58Hz   80Hz  120.5dB   53l +  91l  - 1x100mm   773mm
 44.8Hz  61Hz   84Hz  121.8dB   46l +  91l  - 1x100mm   689mm
 11.7Hz  28Hz   51Hz   98.5dB 2904l +  67l  * 1x70mm   2129mm
 12.9Hz  30Hz   52Hz  100.1dB  935l +  67l  * 1x70mm   1897mm
 14.1Hz  32Hz   53Hz  101.7dB  531l +  67l  * 1x70mm   1691mm
 15.4Hz  34Hz   54Hz  103.3dB  358l +  67l  * 1x70mm   1507mm
 16.9Hz  36Hz   56Hz  104.8dB  262l +  67l  * 1x70mm   1344mm
 18.4Hz  38Hz   57Hz  106.4dB  201l +  67l  * 1x70mm   1197mm
 20.1Hz  40Hz   59Hz  107.9dB  160l +  67l  * 1x70mm   1067mm
 21.9Hz  43Hz   61Hz  109.4dB  130l +  67l  * 1x70mm    951mm
 23.8Hz  45Hz   63Hz  110.8dB  107l +  67l  * 1x70mm    848mm
 25.8Hz  48Hz   65Hz  112.3dB   90l +  67l  * 1x70mm    755mm
 28.0Hz  51Hz   67Hz  113.7dB   76l +  67l  * 1x70mm    673mm
 30.4Hz  46Hz   69Hz  115.1dB  101l +  67l  * 1x70mm    817mm
 32.9Hz  47Hz   72Hz  116.5dB   91l +  67l  * 1x70mm    765mm
 35.6Hz  52Hz   75Hz  117.8dB   72l +  67l  * 1x70mm    649mm
 33.1Hz  55Hz   77Hz  116.5dB   61l +  67l  * 1x70mm    578mm
 36.1Hz  58Hz   80Hz  118.1dB   53l +  67l  * 1x70mm    515mm
 44.8Hz  61Hz   84Hz  121.8dB   46l +  67l  * 1x70mm    459mm
 14.1Hz  34Hz   83Hz  101.7dB  338l +  47l  * 1x70mm   2129mm
 15.5Hz  36Hz   84Hz  103.4dB  250l +  47l  * 1x70mm   1898mm
 17.1Hz  38Hz   86Hz  105.1dB  193l +  47l  * 1x70mm   1692mm
 18.8Hz  41Hz   88Hz  106.7dB  154l +  47l  * 1x70mm   1507mm
 20.6Hz  43Hz   89Hz  108.4dB  126l +  47l  * 1x70mm   1344mm
 22.7Hz  46Hz   91Hz  110.0dB  104l +  47l  * 1x70mm   1197mm
 24.8Hz  48Hz   94Hz  111.6dB   87l +  47l  * 1x70mm   1067mm
 27.2Hz  51Hz   96Hz  113.1dB   74l +  47l  * 1x70mm    951mm
 29.7Hz  54Hz   98Hz  114.7dB   63l +  47l  * 1x70mm    848mm
 32.4Hz  57Hz  101Hz  116.2dB   54l +  47l  * 1x70mm    755mm
 35.4Hz  61Hz  104Hz  117.7dB   47l +  47l  * 1x70mm    673mm
 38.5Hz  64Hz  107Hz  119.2dB   40l +  47l  * 1x70mm    600mm
 41.9Hz  68Hz  111Hz  120.7dB   35l +  47l  * 1x70mm    535mm
 45.5Hz  72Hz  114Hz  122.1dB   31l +  47l  * 1x70mm    477mm
 49.4Hz  76Hz  118Hz  123.5dB   27l +  47l  * 1x70mm    425mm
 53.5Hz  81Hz  122Hz  124.9dB   24l +  47l  - 1x100mm   773mm
 58.0Hz  86Hz  127Hz  126.3dB   21l +  47l  - 1x100mm   689mm
